N,TotEdge,A,G,AVGE,t_mean,t_sd,edge_mean,edge_sd
8,210,0,1,0.3,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,1,0.5,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,1,0.7,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0,1,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.3,0,0.1,38.85,20.339939967825295,118.25,19.870303152403615
8,210,0.3,0,0.3,33.05,15.789653507747941,113.8,21.991864524481727
8,210,0.3,0,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.3,0,0.7,28.35,7.78172623252031,115,15.5428101503049
8,210,0.3,0,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.3,0.3,0.1,36.6,12.227664923184811,117.7,17.912359743455003
8,210,0.3,0.3,0.3,33.8,16.314668891909257,114.6,23.782789000274523
8,210,0.3,0.3,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.3,0.3,0.7,28.2,6.732482141786466,115.35,15.363233623440772
8,210,0.3,0.3,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.3,0.5,0.1,36.6,12.227664923184811,117.7,17.912359743455003
8,210,0.3,0.5,0.3,33.8,16.314668891909257,114.6,23.782789000274523
8,210,0.3,0.5,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.3,0.5,0.7,28.2,6.732482141786466,115.35,15.363233623440772
8,210,0.3,0.5,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.3,0.7,0.1,36.6,12.227664923184811,117.7,17.912359743455003
8,210,0.3,0.7,0.3,33.8,16.314668891909257,114.6,23.782789000274523
8,210,0.3,0.7,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.3,0.7,0.7,28.2,6.732482141786466,115.35,15.363233623440772
8,210,0.3,0.7,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.3,1,0.1,37.65,15.735561468751031,118.2,19.299850013052325
8,210,0.3,1,0.3,33.8,16.314668891909257,114.6,23.782789000274523
8,210,0.3,1,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.3,1,0.7,28.2,6.732482141786466,115.35,15.363233623440772
8,210,0.3,1,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.5,0,0.1,38.85,20.339939967825295,118.25,19.870303152403615
8,210,0.5,0,0.3,33.05,15.789653507747941,113.8,21.991864524481727
8,210,0.5,0,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.5,0,0.7,28.35,7.78172623252031,115,15.5428101503049
8,210,0.5,0,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.5,0.3,0.1,36.15,10.998923392290433,117.35,17.048769055735065
8,210,0.5,0.3,0.3,33.8,16.314668891909257,114.6,23.782789000274523
8,210,0.5,0.3,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.5,0.3,0.7,28.5,7.214750971374367,115.85,16.1775510475083
8,210,0.5,0.3,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.5,0.5,0.1,37.7,15.91788137185414,118.3,19.596186524826443
8,210,0.5,0.5,0.3,33.8,16.314668891909257,114.6,23.782789000274523
8,210,0.5,0.5,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.5,0.5,0.7,28.5,7.214750971374367,115.85,16.1775510475083
8,210,0.5,0.5,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.5,0.7,0.1,37.4,14.840910739538439,118.2,19.299850013052325
8,210,0.5,0.7,0.3,33.8,16.314668891909257,114.6,23.782789000274523
8,210,0.5,0.7,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.5,0.7,0.7,28.5,7.214750971374367,115.85,16.1775510475083
8,210,0.5,0.7,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.5,1,0.1,37.65,15.735561468751031,118.2,19.299850013052325
8,210,0.5,1,0.3,34.5,18.348956660429383,115.05,24.48947142194612
8,210,0.5,1,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.5,1,0.7,28.7,7.650937335076216,115.95,16.372232590578477
8,210,0.5,1,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.7,0,0.1,38.85,20.339939967825295,118.25,19.870303152403615
8,210,0.7,0,0.3,33.05,15.789653507747941,113.8,21.991864524481727
8,210,0.7,0,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.7,0,0.7,28.35,7.78172623252031,115,15.5428101503049
8,210,0.7,0,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.7,0.3,0.1,36.05,10.757983571576775,117,16.290132628454305
8,210,0.7,0.3,0.3,33.8,16.314668891909257,114.6,23.782789000274523
8,210,0.7,0.3,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.7,0.3,0.7,28.5,7.214750971374367,115.85,16.1775510475083
8,210,0.7,0.3,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.7,0.5,0.1,36.55,12.080758951411342,117.65,17.783123282601697
8,210,0.7,0.5,0.3,33.95,16.72210953702974,114.65,23.908322708564107
8,210,0.7,0.5,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.7,0.5,0.7,27.9,6.496152707564686,114.45,14.66278856224329
8,210,0.7,0.5,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.7,0.7,0.1,37.8,16.285608758397057,118.35,19.746485363490038
8,210,0.7,0.7,0.3,33.95,16.72210953702974,114.65,23.908322708564107
8,210,0.7,0.7,0.5,34.7,9.015191856556704,120.3,17.832849640923616
8,210,0.7,0.7,0.7,27.9,6.496152707564686,114.45,14.66278856224329
8,210,0.7,0.7,1,29.9,11.616231837616843,120.4,23.526916276335157
8,210,0.7,1,0.1,37.65,15.735561468751031,118.2,19.299850013052325
8,210,0.7,1,0.3,34.45,18.19333307618625,114.75,24.163641673956523
