N,TotEdge,A,G,E,t_mean,t_sd,edge_mean,edge_sd
6,110,0.5,0.5,0.5,54.05,34.030133705291256,54.7,9.852063636352378
6,110,0.5,0.5,0.7,39.05,11.128318547031736,51.25,6.695442283256653
6,110,0.5,0.5,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.5,0.7,0.1,69.85,42.56669689100302,53.05,6.9696711392628625
6,110,0.5,0.7,0.3,59.75,27.49138621076561,56.2,7.964394449508916
6,110,0.5,0.7,0.5,47.8,19.283480795202596,53.85,8.591764722839631
6,110,0.5,0.7,0.7,39.05,11.128318547031736,51.25,6.695442283256653
6,110,0.5,0.7,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.5,1,0.1,81.2,58.56674105577957,53.25,7.966211540989197
6,110,0.5,1,0.3,61.75,26.55852524440871,56.55,8.306465458969454
6,110,0.5,1,0.5,50.45,24.232372866412447,54.55,9.654423583872944
6,110,0.5,1,0.7,39.05,11.128318547031736,51.3,6.720745572675072
6,110,0.5,1,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.7,0,0.1,58.75,25.96936454241501,58.7,8.297748584944435
6,110,0.7,0,0.3,47.5,18.5458180844376,56.35,7.9490151657462045
6,110,0.7,0,0.5,47.45,15.449322928444742,56.2,8.605995462161065
6,110,0.7,0,0.7,44.8,18.594283218802833,54.75,9.340770846134703
6,110,0.7,0,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.7,0.3,0.1,75.65,39.244543703887246,53.95,8.009698069084424
6,110,0.7,0.3,0.3,56.15,21.529111258455316,55.5,7.1340547265987
6,110,0.7,0.3,0.5,49.65,21.827734651126764,54.6,8.940740579239684
6,110,0.7,0.3,0.7,39.05,11.128318547031736,51.3,6.744198286402602
6,110,0.7,0.3,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.7,0.5,0.1,64.75,33.38432503278652,51.5,6.9395889458124325
6,110,0.7,0.5,0.3,56.45,25.446486677153022,55.85,6.603627392338404
6,110,0.7,0.5,0.5,51.3,27.41705193564956,54.85,9.598656704264185
6,110,0.7,0.5,0.7,39,11.126071799346368,51.35,6.768930569346356
6,110,0.7,0.5,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.7,0.7,0.1,69.65,44.88614251050856,52.15,8.241582627780074
6,110,0.7,0.7,0.3,54.05,24.431375427166557,54.65,7.336103942327397
6,110,0.7,0.7,0.5,48.5,19.60263140230762,54.25,8.842927593339924
6,110,0.7,0.7,0.7,39.05,11.128318547031736,51.35,6.768930569346356
6,110,0.7,0.7,1,39.65,13.095901327474461,55.85,8.731521842394402
6,110,0.7,1,0.1,95.3,101.40647752589834,53.35,7.659016014853963
6,110,0.7,1,0.3,56.9,25.560866470776027,55.65,7.005824644349045
6,110,0.7,1,0.5,52.35,24.6923704389582,55.6,9.258850673246313
